name,dependency_pkg
backend-utils,fastapi
backend-utils,httpx
matheUI-backend,pylint
matheUI-backend,pytest
matheUI-backend,isort
matheUI-backend,tqdm
matheUI-backend,pandas
matheUI-backend,numpy
backend-setuptool,tomli
backend-setuptool,black
backend-setuptool,pytest
backend-setuptool,isort
backend-setuptool,pip-tools
backend-setuptool,feedparser
backend-setuptool,bumpver
backend-setuptool,html2text
legistream-backend,websocket-client
legistream-backend,bs4
legistream-backend,pytest
legistream-backend,lxml
legistream-backend,ImageHash
legistream-backend,m3u8
legistream-backend,websocket
legistream-backend,requests
nucleaizer-backend,scipy
nucleaizer-backend,torch
nucleaizer-backend,dominate
nucleaizer-backend,opencv-python
nucleaizer-backend,torchvision
nucleaizer-backend,imagecodecs
nucleaizer-backend,imageio
nucleaizer-backend,albumentations
nucleaizer-backend,tqdm
nucleaizer-backend,Cython
nucleaizer-backend,matplotlib
nucleaizer-backend,scikit-image
nucleaizer-backend,numpy
nucleaizer-backend,ipython
nucleaizer-backend,tensorflow
pdm-backend,importlib-metadata>=3.6;
