name,dependency_pkg
chat-toolkit,pyxhook
chat-toolkit,loguru
chat-toolkit,sounddevice
chat-toolkit,openai
chat-toolkit,pytest-cov
chat-toolkit,soundfile
chat-toolkit,keyboard
chat-toolkit,pyttsx3
chat-toolkit,numpy
omuplugin-chat,omuchat>=0.1.9
chat-miner,argparse
chat-miner,transformers
hackmud-chat,requests
mqtt-chat,paho-mqtt
openbb-chat,duckduckgo-search>=4.5.0;
openbb-chat,guidance>=0.0.64
openbb-chat,llama-index-llms-huggingface>=0.1.3
openbb-chat,pytest>=8.0.2;
openbb-chat,torch==2.*
openbb-chat,torchvision>=0.17.1;
openbb-chat,sentencepiece>=0.1.99
openbb-chat,sentence-transformers>=2.2.2;
openbb-chat,langchain>=0.0.353
openbb-chat,pytest-asyncio>=0.23.5;
openbb-chat,ipykernel>=6.29.3;
openbb-chat,llama-index-embeddings-huggingface>=0.1.3
openbb-chat,rank-bm25>=0.2.2
openbb-chat,pytest-cov[toml]>=4.1.0;
openbb-chat,llama-index>=0.10.13
openbb-chat,llama-index-retrievers-bm25>=0.1.3
openbb-chat,peft>=0.5.0
openbb-chat,torchmetrics>=0.11.4;
openbb-chat,auto-gptq>=0.4.2
openbb-chat,transformers>=4.33.0
openbb-chat,pyrootutils>=1.0.4
openbb-chat,bitsandbytes>=0.41.1
openbb-chat,"rich<13.0.0,>=12.6.0"
openbb-chat,optimum>=1.12.0
openbb-chat,lightning>=2.0.0;
openbb-chat,wikipedia>=1.4.0;
openbb-chat,pre-commit>=3.3.3
openbb-chat,accelerate>=0.22.0
openbb-chat,hydra-colorlog==1.*;
openbb-chat,einops>=0.6.1
openbb-chat,hydra-core==1.*;
openbb-chat,wandb>=0.15.5;
openbb-chat,llama-index-llms-openai>=0.1.6
openbb-chat,hydra-optuna-sweeper==1.*;
elia-chat,textual
elia-chat,openai
elia-chat,sqlmodel
elia-chat,humanize
elia-chat,langchain
elia-chat,click
elia-chat,tiktoken
chat-exporter,emoji
chat-exporter,aiohttp
chat-exporter,pytz
chat-exporter,grapheme
chat-summary,pandas
reflex-chat,reflex
reflex-chat,build
reflex-chat,twine
chat-downloader,websocket-client
chat-downloader,wheel
chat-downloader,sphinx
chat-downloader,twine
chat-downloader,requests
chat-downloader,docstring-parser
chat-downloader,pytest
chat-downloader,sphinx-rtd-theme
chat-downloader,coverage
chat-downloader,sphinxcontrib-programoutput
chat-downloader,isodate
chat-downloader,tox
chat-downloader,flake8
chat-downloader,colorlog
onegov.chat,sedate
onegov.chat,onegov.core
onegov.chat,onegov.file
onegov.chat,ulid
onegov.chat,onegov-testing
onegov.chat,pytest
onegov.chat,coverage
