name,dependency_pkg
geometric-graphs,sphinx
geometric-graphs,sphinx-rtd-theme
geometric-graphs,coverage
geometric-graphs,sphinx-click
geometric-graphs,more-itertools
geometric-graphs,pytest
geometric-graphs,sphinx-autodoc-typehints
geometric-graphs,class-resolver
geometric-graphs,sphinx-automodapi
geometric-graphs,click
ngram-graphs,python-igraph
ngram-graphs,networkx
mlx-graphs,nbsphinx
mlx-graphs,torch-geometric
mlx-graphs,sphinx-book-theme
mlx-graphs,numpy
mlx-graphs,sphinx
mlx-graphs,tqdm
mlx-graphs,requests
mlx-graphs,dgl
mlx-graphs,scipy
mlx-graphs,torch
mlx-graphs,sphinx-gallery
mlx-graphs,pytest
mlx-graphs,ipython
mlx-graphs,sphinx-autodoc-typehints
mlx-graphs,fsspec
mlx-graphs,pre-commit
mlx-graphs,mlx
app-graphs,pandas
app-graphs,ogdf-python
pywhy-graphs,networkx
pywhy-graphs,numpy
pywhy-graphs,scipy
pywhy-graphs,pygraphviz
pywhy-graphs,importlib-resources
logs2graphs,importlib-metadata
logs2graphs,networkx
logs2graphs,numpy
logs2graphs,regex
logs2graphs,gdown
logs2graphs,pyvis
logs2graphs,requests
logs2graphs,python-dateutil
logs2graphs,pandas
zuper-graphs-z7,zuper-typing-z7
zuper-graphs-z7,networkx
zuper-graphs-z7,PyMCDP-z7
zuper-graphs-z7,zuper-utils-soup-z7
zuper-graphs-z7,zuper-commons-z7
zuper-graphs-z7,reprep-z7
boolean-cayley-graphs,numpy
boolean-cayley-graphs,psycopg2
boolean-cayley-graphs,sagemath
sparse-graphs,numpy
